Date,Fajr,Sunrise,Thuhr,Asr,Maghrib,Isha,Hijri,Month,Year,FajrM,SunriseM,ThuhrM,AsrM,MaghribM,IshaM
1-Jan-13,6:39,8:49,12:40,14:11,4:29,6:29,19,Safar,1434,6:49,8:49,12:40,14:11,4:29,6:29
2-Jan-13,6:39,8:48,12:40,14:12,4:30,6:30,20,Safar,1434,6:39,8:48,12:40,14:12,4:30,6:30
3-Jan-13,6:39,8:48,12:41,14:13,4:31,6:31,21,Safar,1434,6:39,8:48,12:41,14:13,4:31,6:31
4-Jan-13,6:39,8:48,12:41,14:14,4:32,6:32,22,Safar,1434,6:39,8:48,12:41,14:14,4:32,6:32
5-Jan-13,6:39,8:47,12:42,2:15,4:34,6:33,23,Safar,1434,6:39,8:47,12:42,2:15,4:34,6:33
6-Jan-13,6:39,8:47,12:42,2:16,4:35,6:34,24,Safar,1434,6:39,8:47,12:42,2:16,4:35,6:34
7-Jan-13,6:38,8:46,12:42,2:17,4:36,6:35,25,Safar,1434,6:38,8:46,12:42,2:17,4:36,6:35
8-Jan-13,6:38,8:46,12:43,2:18,4:38,6:37,26,Safar,1434,6:38,8:46,12:43,2:18,4:38,6:37
9-Jan-13,6:38,8:45,12:43,2:19,4:39,6:38,27,Safar,1434,6:38,8:45,12:43,2:19,4:39,6:38
10-Jan-13,6:37,8:45,12:44,2:21,4:41,6:39,28,Safar,1434,6:37,8:45,12:44,2:21,4:41,6:39
11-Jan-13,6:37,8:44,12:44,2:22,4:42,6:40,29,Safar,1434,6:37,8:44,12:44,2:22,4:42,6:40
12-Jan-13,6:36,8:43,12:44,2:23,4:44,6:41,30,Safar,1434,6:36,8:43,12:44,2:23,4:44,6:41
13-Jan-13,6:36,8:42,12:45,2:25,4:45,6:43,1,Rabi Al-Awal,1434,6:36,8:42,12:45,2:25,4:45,6:43
14-Jan-13,6:35,8:41,12:45,2:26,4:47,6:44,2,Rabi Al-Awal,1434,6:35,8:41,12:45,2:26,4:47,6:44
15-Jan-13,6:35,8:40,12:46,2:27,4:49,6:45,3,Rabi Al-Awal,1434,6:35,8:40,12:46,2:27,4:49,6:45
16-Jan-13,6:34,8:39,12:46,2:29,4:50,6:47,4,Rabi Al-Awal,1434,6:34,8:39,12:46,2:29,4:50,6:47
17-Jan-13,6:33,8:38,12:46,2:30,4:52,6:48,5,Rabi Al-Awal,1434,6:33,8:38,12:46,2:30,4:52,6:48
18-Jan-13,6:32,8:37,12:47,2:31,4:54,6:50,6,Rabi Al-Awal,1434,6:32,8:37,12:47,2:31,4:54,6:50
19-Jan-13,6:32,8:36,12:47,2:33,4:56,6:51,7,Rabi Al-Awal,1434,6:32,8:36,12:47,2:33,4:56,6:51
20-Jan-13,6:31,8:35,12:47,2:34,4:57,6:53,8,Rabi Al-Awal,1434,6:31,8:35,12:47,2:34,4:57,6:53
21-Jan-13,6:30,8:34,12:47,2:36,4:59,6:54,9,Rabi Al-Awal,1434,6:30,8:34,12:47,2:36,4:59,6:54
22-Jan-13,6:29,8:33,12:48,2:37,5:01,6:56,10,Rabi Al-Awal,1434,6:29,8:33,12:48,2:37,5:01,6:56
23-Jan-13,6:28,8:31,12:48,2:39,5:03,6:57,11,Rabi Al-Awal,1434,6:28,8:31,12:48,2:39,5:03,6:57
24-Jan-13,6:27,8:30,12:48,2:40,5:05,6:59,12,Rabi Al-Awal,1434,6:27,8:30,12:48,2:40,5:05,6:59
25-Jan-13,6:26,8:28,12:48,2:42,5:07,7:00,13,Rabi Al-Awal,1434,6:26,8:28,12:48,2:42,5:07,7:00
26-Jan-13,6:25,8:27,12:49,2:43,5:08,7:02,14,Rabi Al-Awal,1434,6:25,8:27,12:49,2:43,5:08,7:02
27-Jan-13,6:24,8:26,12:49,2:45,5:10,7:03,15,Rabi Al-Awal,1434,6:24,8:26,12:49,2:45,5:10,7:03
28-Jan-13,6:22,8:24,12:49,2:46,5:12,7:05,16,Rabi Al-Awal,1434,6:22,8:24,12:49,2:46,5:12,7:05
29-Jan-13,6:21,8:22,12:49,2:48,5:14,7:06,17,Rabi Al-Awal,1434,6:21,8:22,12:49,2:48,5:14,7:06
30-Jan-13,6:20,8:21,12:49,2:49,5:16,7:08,18,Rabi Al-Awal,1434,6:20,8:21,12:49,2:49,5:16,7:08
31-Jan-13,6:18,8:19,12:49,2:51,5:18,7:10,19,Rabi Al-Awal,1434,6:18,8:19,12:49,2:51,5:18,7:10
1-Feb-13,6:17,8:18,12:50,2:53,5:20,7:11,20,Rabi Al-Awal,1434,6:17,8:18,12:50,2:53,5:20,7:11
2-Feb-13,6:16,8:16,12:50,2:54,5:22,7:13,21,Rabi Al-Awal,1434,6:16,8:16,12:50,2:54,5:22,7:13
3-Feb-13,6:14,8:14,12:50,2:56,5:24,7:15,22,Rabi Al-Awal,1434,6:14,8:14,12:50,2:56,5:24,7:15
4-Feb-13,6:13,8:12,12:50,2:57,5:26,7:16,23,Rabi Al-Awal,1434,6:13,8:12,12:50,2:57,5:26,7:16
5-Feb-13,6:11,8:11,12:50,2:59,5:28,7:18,24,Rabi Al-Awal,1434,6:11,8:11,12:50,2:59,5:28,7:18
6-Feb-13,6:10,8:09,12:50,3:00,5:30,7:20,25,Rabi Al-Awal,1434,6:10,8:09,12:50,3:00,5:30,7:20
7-Feb-13,6:08,8:07,12:50,3:02,5:32,7:22,26,Rabi Al-Awal,1434,6:08,8:07,12:50,3:02,5:32,7:22
8-Feb-13,6:06,8:05,12:50,3:03,5:34,7:23,27,Rabi Al-Awal,1434,6:06,8:05,12:50,3:03,5:34,7:23
9-Feb-13,6:05,8:03,12:50,3:05,5:36,7:25,28,Rabi Al-Awal,1434,6:05,8:03,12:50,3:05,5:36,7:25
10-Feb-13,6:03,8:01,12:50,3:06,5:38,7:27,29,Rabi Al-Awal,1434,6:03,8:01,12:50,3:06,5:38,7:27
11-Feb-13,6:01,7:59,12:50,3:08,5:40,7:28,1,Rabi Al-Thani,1434,6:01,7:59,12:50,3:08,5:40,7:28
12-Feb-13,6:00,7:57,12:50,3:10,5:42,7:30,2,Rabi Al-Thani,1434,6:00,7:57,12:50,3:10,5:42,7:30
13-Feb-13,5:58,7:55,12:50,3:11,5:44,7:32,3,Rabi Al-Thani,1434,5:58,7:55,12:50,3:11,5:44,7:32
14-Feb-13,5:56,7:53,12:50,3:13,5:46,7:34,4,Rabi Al-Thani,1434,5:56,7:53,12:50,3:13,5:46,7:34
15-Feb-13,5:54,7:51,12:50,3:14,5:48,7:36,5,Rabi Al-Thani,1434,5:54,7:51,12:50,3:14,5:48,7:36
16-Feb-13,5:52,7:49,12:50,3:16,5:50,7:37,6,Rabi Al-Thani,1434,5:52,7:49,12:50,3:16,5:50,7:37
17-Feb-13,5:50,7:47,12:50,3:17,5:51,7:39,7,Rabi Al-Thani,1434,5:50,7:47,12:50,3:17,5:51,7:39
18-Feb-13,5:48,7:45,12:50,3:19,5:53,7:41,8,Rabi Al-Thani,1434,5:48,7:45,12:50,3:19,5:53,7:41
19-Feb-13,5:46,7:43,12:50,3:20,5:55,7:43,9,Rabi Al-Thani,1434,5:46,7:43,12:50,3:20,5:55,7:43
20-Feb-13,5:44,7:40,12:50,3:22,5:57,7:45,10,Rabi Al-Thani,1434,5:44,7:40,12:50,3:22,5:57,7:45
21-Feb-13,5:42,7:38,12:50,3:23,5:59,7:46,11,Rabi Al-Thani,1434,5:42,7:38,12:50,3:23,5:59,7:46
22-Feb-13,5:40,7:36,12:49,3:24,6:01,7:48,12,Rabi Al-Thani,1434,5:40,7:36,12:49,3:24,6:01,7:48
23-Feb-13,5:38,7:34,12:49,3:26,6:03,7:50,13,Rabi Al-Thani,1434,5:38,7:34,12:49,3:26,6:03,7:50
24-Feb-13,5:36,7:32,12:49,3:27,6:05,7:52,14,Rabi Al-Thani,1434,5:36,7:32,12:49,3:27,6:05,7:52
25-Feb-13,5:33,7:29,12:49,3:29,6:07,7:54,15,Rabi Al-Thani,1434,5:33,7:29,12:49,3:29,6:07,7:54
26-Feb-13,5:31,7:27,12:49,3:30,6:09,7:56,16,Rabi Al-Thani,1434,5:31,7:27,12:49,3:30,6:09,7:56
27-Feb-13,5:29,7:25,12:49,3:31,6:11,7:58,17,Rabi Al-Thani,1434,5:29,7:25,12:49,3:31,6:11,7:58
28-Feb-13,5:27,7:23,12:49,3:33,6:13,8:00,18,Rabi Al-Thani,1434,5:27,7:23,12:49,3:33,6:13,8:00
1-Mar-13,5:24,7:20,12:48,3:34,6:15,8:01,19,Rabi Al-Thani,1434,5:24,7:20,12:48,3:34,6:15,8:01
2-Mar-13,5:22,7:18,12:48,3:36,6:17,8:03,20,Rabi Al-Thani,1434,5:22,7:18,12:48,3:36,6:17,8:03
3-Mar-13,5:20,7:16,12:48,3:37,6:19,8:05,21,Rabi Al-Thani,1434,5:20,7:16,12:48,3:37,6:19,8:05
4-Mar-13,5:17,7:13,12:48,3:38,6:20,8:07,22,Rabi Al-Thani,1434,5:17,7:13,12:48,3:38,6:20,8:07
5-Mar-13,5:15,7:11,12:47,3:40,6:22,8:09,23,Rabi Al-Thani,1434,5:15,7:11,12:47,3:40,6:22,8:09
6-Mar-13,5:13,7:09,12:47,3:41,6:24,8:11,24,Rabi Al-Thani,1434,5:13,7:09,12:47,3:41,6:24,8:11
7-Mar-13,5:10,7:06,12:47,3:42,6:26,8:13,25,Rabi Al-Thani,1434,5:10,7:06,12:47,3:42,6:26,8:13
8-Mar-13,5:08,7:04,12:47,3:43,6:28,8:15,26,Rabi Al-Thani,1434,5:08,7:04,12:47,3:43,6:28,8:15
9-Mar-13,5:05,7:02,12:46,3:45,6:30,8:17,27,Rabi Al-Thani,1434,5:05,7:02,12:46,3:45,6:30,8:17
10-Mar-13,6:03,7:59,13:46,4:46,7:32,9:19,28,Rabi Al-Thani,1434,6:03,7:59,13:46,4:46,7:32,9:19
11-Mar-13,6:00,7:57,13:46,4:47,7:34,9:21,29,Rabi Al-Thani,1434,6:00,7:57,13:46,4:47,7:34,9:21
12-Mar-13,5:57,7:55,13:46,4:48,7:35,9:23,30,Rabi Al-Thani,1434,5:57,7:55,13:46,4:48,7:35,9:23
13-Mar-13,5:55,7:52,13:45,4:50,7:37,9:25,1,Jumada Al-Awwal,1434,5:55,7:52,13:45,4:50,7:37,9:25
14-Mar-13,5:52,7:50,13:45,4:51,7:39,9:27,2,Jumada Al-Awwal,1434,5:52,7:50,13:45,4:51,7:39,9:27
15-Mar-13,5:50,7:47,13:45,4:52,7:41,9:29,3,Jumada Al-Awwal,1434,5:50,7:47,13:45,4:52,7:41,9:29
16-Mar-13,5:47,7:45,13:45,4:53,7:43,9:31,4,Jumada Al-Awwal,1434,5:47,7:45,13:45,4:53,7:43,9:31
17-Mar-13,5:44,7:43,13:44,4:54,7:45,9:33,5,Jumada Al-Awwal,1434,5:44,7:43,13:44,4:54,7:45,9:33
18-Mar-13,5:41,7:40,13:44,4:55,7:47,9:35,6,Jumada Al-Awwal,1434,5:41,7:40,13:44,4:55,7:47,9:35
19-Mar-13,5:39,7:38,13:44,4:57,7:48,9:38,7,Jumada Al-Awwal,1434,5:39,7:38,13:44,4:57,7:48,9:38
20-Mar-13,5:36,7:35,13:43,4:58,7:50,9:40,8,Jumada Al-Awwal,1434,5:36,7:35,13:43,4:58,7:50,9:40
21-Mar-13,5:33,7:33,13:43,4:59,7:52,9:41,9,Jumada Al-Awwal,1434,5:33,7:33,13:43,4:59,7:52,9:41
22-Mar-13,5:30,7:30,13:43,5:00,7:54,9:42,10,Jumada Al-Awwal,1434,5:30,7:30,13:43,5:00,7:54,9:42
23-Mar-13,5:27,7:28,13:43,5:01,7:56,9:43,11,Jumada Al-Awwal,1434,5:27,7:28,13:43,5:01,7:56,9:43
24-Mar-13,5:25,7:26,13:42,5:02,7:58,9:44,12,Jumada Al-Awwal,1434,5:25,7:26,13:42,5:02,7:58,9:44
25-Mar-13,5:22,7:23,13:42,5:03,7:59,9:44,13,Jumada Al-Awwal,1434,5:22,7:23,13:42,5:03,7:59,9:44
26-Mar-13,5:19,7:21,13:42,5:04,8:01,9:45,14,Jumada Al-Awwal,1434,5:19,7:21,13:42,5:04,8:01,9:45
27-Mar-13,5:16,7:18,13:41,5:05,8:03,9:46,15,Jumada Al-Awwal,1434,5:16,7:18,13:41,5:05,8:03,9:46
28-Mar-13,5:13,7:16,13:41,5:06,8:05,9:46,16,Jumada Al-Awwal,1434,5:13,7:16,13:41,5:06,8:05,9:46
29-Mar-13,5:10,7:13,13:41,5:07,8:07,9:47,17,Jumada Al-Awwal,1434,5:10,7:13,13:41,5:07,8:07,9:47
30-Mar-13,5:07,7:11,13:40,5:08,8:08,9:47,18,Jumada Al-Awwal,1434,5:07,7:11,13:40,5:08,8:08,9:47
31-Mar-13,5:04,7:08,13:40,5:09,8:10,9:48,19,Jumada Al-Awwal,1434,5:04,7:08,13:40,5:09,8:10,9:48
1-Apr-13,5:01,7:06,13:40,5:10,8:12,9:49,20,Jumada Al-Awwal,1434,5:01,7:06,13:40,5:10,8:12,9:49
2-Apr-13,4:58,7:04,13:40,5:11,8:14,9:50,21,Jumada Al-Awwal,1434,4:58,7:04,13:40,5:11,8:14,9:50
3-Apr-13,4:55,7:01,13:39,5:12,8:16,9:51,22,Jumada Al-Awwal,1434,4:55,7:01,13:39,5:12,8:16,9:51
4-Apr-13,4:51,6:59,13:39,5:13,8:18,9:51,23,Jumada Al-Awwal,1434,4:51,6:59,13:39,5:13,8:18,9:51
5-Apr-13,4:48,6:57,13:39,5:14,8:19,9:52,24,Jumada Al-Awwal,1434,4:48,6:57,13:39,5:14,8:19,9:52
6-Apr-13,4:45,6:54,13:38,5:15,8:21,9:52,25,Jumada Al-Awwal,1434,4:45,6:54,13:38,5:15,8:21,9:52
7-Apr-13,4:42,6:52,13:38,5:16,8:23,9:53,26,Jumada Al-Awwal,1434,4:42,6:52,13:38,5:16,8:23,9:53
8-Apr-13,4:39,6:50,13:38,5:17,8:25,9:54,27,Jumada Al-Awwal,1434,4:39,6:50,13:38,5:17,8:25,9:54
9-Apr-13,4:35,6:47,13:38,5:18,8:27,9:55,28,Jumada Al-Awwal,1434,4:35,6:47,13:38,5:18,8:27,9:55
10-Apr-13,4:32,6:45,13:37,5:19,8:29,9:56,29,Jumada Al-Awwal,1434,4:32,6:45,13:37,5:19,8:29,9:56
11-Apr-13,4:29,6:42,13:37,5:20,8:30,9:56,1,Jumada Al-Thani,1434,4:29,6:42,13:37,5:20,8:30,9:56
12-Apr-13,4:25,6:40,13:37,5:21,8:32,9:57,2,Jumada Al-Thani,1434,4:25,6:40,13:37,5:21,8:32,9:57
13-Apr-13,4:22,6:38,1:36,5:22,8:34,9:58,3,Jumada Al-Thani,1434,4:22,6:38,1:36,5:22,8:34,9:58
14-Apr-13,4:18,6:36,1:36,5:22,8:36,9:58,4,Jumada Al-Thani,1434,4:18,6:36,1:36,5:22,8:36,9:58
15-Apr-13,4:15,6:33,1:36,5:23,8:38,9:59,5,Jumada Al-Thani,1434,4:15,6:33,1:36,5:23,8:38,9:59
16-Apr-13,4:11,6:31,1:36,5:24,8:39,9:59,6,Jumada Al-Thani,1434,4:11,6:31,1:36,5:24,8:39,9:59
17-Apr-13,4:08,6:29,1:36,5:25,8:41,10:00,7,Jumada Al-Thani,1434,4:08,6:29,1:36,5:25,8:41,10:00
18-Apr-13,4:04,6:26,1:35,5:26,8:43,10:01,8,Jumada Al-Thani,1434,4:04,6:26,1:35,5:26,8:43,10:01
19-Apr-13,4:00,6:24,1:35,5:27,8:45,10:02,9,Jumada Al-Thani,1434,4:00,6:24,1:35,5:27,8:45,10:02
20-Apr-13,3:57,6:22,1:35,5:27,8:47,10:03,10,Jumada Al-Thani,1434,3:57,6:22,1:35,5:27,8:47,10:03
21-Apr-13,3:55,6:20,1:35,5:28,8:48,10:03,11,Jumada Al-Thani,1434,3:55,6:20,1:35,5:28,8:48,10:03
22-Apr-13,3:54,6:18,1:35,5:28,8:50,10:05,12,Jumada Al-Thani,1434,3:54,6:18,1:35,5:28,8:50,10:05
23-Apr-13,3:53,6:15,1:34,5:30,8:52,10:07,13,Jumada Al-Thani,1434,3:53,6:15,1:34,5:30,8:52,10:07
24-Apr-13,3:52,6:13,1:34,5:31,8:54,10:09,14,Jumada Al-Thani,1434,3:52,6:13,1:34,5:31,8:54,10:09
25-Apr-13,3:51,6:11,1:34,5:31,8:56,10:11,15,Jumada Al-Thani,1434,3:51,6:11,1:34,5:31,8:56,10:11
26-Apr-13,3:50,6:09,1:34,5:32,8:58,10:13,16,Jumada Al-Thani,1434,3:50,6:09,1:34,5:32,8:58,10:13
27-Apr-13,3:48,6:07,1:34,5:33,8:59,10:14,17,Jumada Al-Thani,1434,3:48,6:07,1:34,5:33,8:59,10:14
28-Apr-13,3:47,6:05,1:33,5:34,9:01,10:16,18,Jumada Al-Thani,1434,3:47,6:05,1:33,5:34,9:01,10:16
29-Apr-13,3:46,6:03,1:33,5:35,9:03,10:18,19,Jumada Al-Thani,1434,3:46,6:03,1:33,5:35,9:03,10:18
30-Apr-13,3:45,6:01,1:33,5:35,9:05,10:20,20,Jumada Al-Thani,1434,3:45,6:01,1:33,5:35,9:05,10:20
1-May-13,3:44,5:59,1:33,5:36,9:06,10:21,21,Jumada Al-Thani,1434,3:44,5:59,1:33,5:36,9:06,10:21
2-May-13,3:43,5:56,1:33,5:37,9:08,10:23,22,Jumada Al-Thani,1434,3:43,5:56,1:33,5:37,9:08,10:23
3-May-13,3:42,5:55,1:33,5:37,9:10,10:25,23,Jumada Al-Thani,1434,3:42,5:55,1:33,5:37,9:10,10:25
4-May-13,3:41,5:53,1:33,5:38,9:12,10:27,24,Jumada Al-Thani,1434,3:41,5:53,1:33,5:38,9:12,10:27
5-May-13,3:40,5:51,1:33,5:39,9:14,10:29,25,Jumada Al-Thani,1434,3:40,5:51,1:33,5:39,9:14,10:29
6-May-13,3:39,5:49,1:33,5:40,9:15,10:30,26,Jumada Al-Thani,1434,3:39,5:49,1:33,5:40,9:15,10:30
7-May-13,3:38,5:47,1:33,5:40,9:17,10:32,27,Jumada Al-Thani,1434,3:38,5:47,1:33,5:40,9:17,10:32
8-May-13,3:37,5:45,1:32,5:41,9:19,10:34,28,Jumada Al-Thani,1434,3:37,5:45,1:32,5:41,9:19,10:34
9-May-13,3:37,5:43,1:32,5:42,9:21,10:36,29,Jumada Al-Thani,1434,3:37,5:43,1:32,5:42,9:21,10:36
10-May-13,3:36,5:41,1:32,5:42,9:22,10:37,30,Jumada Al-Thani,1434,3:36,5:41,1:32,5:42,9:22,10:37
11-May-13,3:35,5:40,1:32,5:43,9:24,10:39,1,Rajab,1434,3:35,5:40,1:32,5:43,9:24,10:39
12-May-13,3:34,5:38,1:32,5:44,9:26,10:41,2,Rajab,1434,3:34,5:38,1:32,5:44,9:26,10:41
13-May-13,3:33,5:36,1:32,5:44,9:27,10:42,3,Rajab,1434,3:33,5:36,1:32,5:44,9:27,10:42
14-May-13,3:32,5:35,1:32,5:44,9:29,10:44,4,Rajab,1434,3:32,5:35,1:32,5:44,9:29,10:44
15-May-13,3:31,5:33,1:32,5:46,9:31,10:46,5,Rajab,1434,3:31,5:33,1:32,5:46,9:31,10:46
16-May-13,3:31,5:31,1:32,5:46,9:32,10:47,6,Rajab,1434,3:31,5:31,1:32,5:46,9:32,10:47
17-May-13,3:30,5:30,1:32,5:47,9:34,10:49,7,Rajab,1434,3:30,5:30,1:32,5:47,9:34,10:49
18-May-13,3:29,5:28,1:32,5:48,9:35,10:50,8,Rajab,1434,3:29,5:28,1:32,5:48,9:35,10:50
19-May-13,3:28,5:27,1:33,5:48,9:37,10:52,9,Rajab,1434,3:28,5:27,1:33,5:48,9:37,10:52
20-May-13,3:27,5:25,1:33,5:49,9:39,10:54,10,Rajab,1434,3:27,5:25,1:33,5:49,9:39,10:54
21-May-13,3:26,5:24,1:33,5:49,9:40,10:55,11,Rajab,1434,3:26,5:24,1:33,5:49,9:40,10:55
22-May-13,3:25,5:22,1:33,5:50,9:42,10:57,12,Rajab,1434,3:25,5:22,1:33,5:50,9:42,10:57
23-May-13,3:23,5:21,1:33,5:51,9:43,10:58,13,Rajab,1434,3:23,5:21,1:33,5:51,9:43,10:58
24-May-13,3:21,5:20,1:33,5:51,9:45,11:00,14,Rajab,1434,3:21,5:20,1:33,5:51,9:45,11:00
25-May-13,3:20,5:19,1:33,5:52,9:46,11:01,15,Rajab,1434,3:20,5:19,1:33,5:52,9:46,11:01
26-May-13,3:18,5:17,1:33,5:52,9:47,11:02,16,Rajab,1434,3:18,5:17,1:33,5:52,9:47,11:02
27-May-13,3:16,5:16,1:33,5:53,9:49,11:04,17,Rajab,1434,3:16,5:16,1:33,5:53,9:49,11:04
28-May-13,3:14,5:15,1:33,5:53,9:50,11:05,18,Rajab,1434,3:14,5:15,1:33,5:53,9:50,11:05
29-May-13,3:12,5:14,1:33,5:53,9:51,11:06,19,Rajab,1434,3:12,5:14,1:33,5:53,9:51,11:06
30-May-13,3:11,5:13,1:34,5:54,9:53,11:08,20,Rajab,1434,3:11,5:13,1:34,5:54,9:53,11:08
31-May-13,3:10,5:12,1:34,5:55,9:54,11:09,21,Rajab,1434,3:10,5:12,1:34,5:55,9:54,11:09
1-Jun-13,3:08,5:11,1:34,5:55,9:55,11:10,22,Rajab,1434,3:08,5:11,1:34,5:55,9:55,11:10
